n_S, m_S, n, m, c_S, internal_density, edges_inside, average_degree, fomd, tpr, expansion, cut_ratio, conductance, normalized_cut, maximum_odf, average_odf, flake_odf, modularity, auc_score
12.0,2.0,19634.0,270970.0,465,0.030303030303030304,2.0,0.3333333333333333,0.0,0.16666666666666666,38.75,0.001974824176944246,0.9914712153518124,0.9923285146562015,1.0,0.965905631659,1.0,-29.0925,0.784121
12.0,3.0,19634.0,270970.0,157,0.045454545454545456,3.0,0.5,0.0,0.16666666666666666,13.083333333333334,0.0006667685930757993,0.9631901840490797,0.963479803319645,1.0,0.987762237762,1.0,-9.49,0.4397035
12.0,0.0,19634.0,270970.0,278,0.0,0.0,0.0,0.0,0.0,23.166666666666668,0.0011806475724526891,1.0,1.0005127089104382,1.0,1.0,1.0,-17.4275,0.6914385
12.0,1.0,19634.0,270970.0,447,0.015151515151515152,1.0,0.16666666666666666,0.0,0.08333333333333333,37.25,0.0018983793700947916,0.9955456570155902,0.9963697948512604,1.0,0.998062015504,1.0,-27.5825,0.662356
8.0,0.0,19634.0,270970.0,50,0.0,0.0,0.0,0.0,0.0,6.25,0.0003184551105676144,1.0,1.0000922526245872,1.0,1.0,1.0,-3.1575,0.8076375
16.0,2.0,19634.0,270970.0,529,0.016666666666666666,2.0,0.25,0.0,0.0625,33.0625,0.0016853145070853297,0.9924953095684803,0.9934704876905711,1.0,0.98706997198,1.0,-32.9875,0.496502
16.0,0.0,19634.0,270970.0,87,0.0,0.0,0.0,0.0,0.0,5.4375,0.000277168926496075,1.0,1.0001605086093497,1.0,1.0,1.0,-5.4675,0.638944
8.0,0.0,19634.0,270970.0,136,0.0,0.0,0.0,0.0,0.0,17.0,0.0008661979007439112,1.0,1.000250887329452,1.0,1.0,1.0,-8.49,0.497281
15.0,0.0,19634.0,270970.0,257,0.0,0.0,0.0,0.0,0.0,17.133333333333333,0.0008733030905414819,1.0,1.0004739974584884,1.0,1.0,1.0,-16.085,0.5238605
17.0,4.0,19634.0,270970.0,627,0.029411764705882353,4.0,0.47058823529411764,0.0,0.23529411764705882,36.88235294117647,0.0018801219830339231,0.9874015748031496,0.9885572094898841,1.0,0.994035165762,1.0,-39.0925,0.5660245
6.0,1.0,19634.0,270970.0,102,0.06666666666666667,1.0,0.3333333333333333,0.0,0.16666666666666666,17.0,0.0008661096392908091,0.9807692307692307,0.9809574087634747,1.0,0.833333333333,1.0,-6.3725,0.240584
9.0,0.0,19634.0,270970.0,193,0.0,0.0,0.0,0.0,0.0,21.444444444444443,0.0010927105449398443,1.0,1.0003560012026569,1.0,1.0,1.0,-12.06,0.506236
9.0,1.0,19634.0,270970.0,189,0.027777777777777776,1.0,0.2222222222222222,0.0,0.1111111111111111,21.0,0.0010700636942675159,0.9895287958115183,0.9898774226092981,1.0,0.997997997998,1.0,-11.8225,0.515323
13.0,7.0,19634.0,270970.0,1067,0.08974358974358974,7.0,1.0769230769230769,0.0769230769231,0.07692307692307693,82.07692307692308,0.004183116205948885,0.9870490286771508,0.989014063217191,1.0,0.998180873181,1.0,-66.225,0.7557315
11.0,2.0,19634.0,270970.0,76,0.03636363636363636,2.0,0.36363636363636365,0.0,0.18181818181818182,6.909090909090909,0.00035209146965759104,0.95,0.9501402182977499,1.0,0.975318798848,1.0,-4.6325,0.337062
12.0,3.0,19634.0,270970.0,299,0.045454545454545456,3.0,0.5,0.0,0.16666666666666666,24.916666666666668,0.0012698331804437196,0.980327868852459,0.9808792923180172,1.0,0.968487394958,1.0,-18.445,0.6331345
11.0,1.0,19634.0,270970.0,192,0.01818181818181818,1.0,0.18181818181818182,0.0,0.09090909090909091,17.454545454545453,0.0008894942391349668,0.9896907216494846,0.9900448802461311,1.0,0.99595959596,1.0,-11.9325,0.5280225
11.0,1.0,19634.0,270970.0,284,0.01818181818181818,1.0,0.18181818181818182,0.0,0.09090909090909091,25.818181818181817,0.0013157102287204717,0.993006993006993,0.9935307637134564,1.0,0.997202797203,1.0,-17.6625,0.411014
5.0,2.0,19634.0,270970.0,313,0.2,2.0,0.8,0.0,0.4,62.6,0.003189158897549544,0.9873817034700315,0.9879589290619644,1.0,0.989742103738,1.0,-19.415,0.432061
12.0,3.0,19634.0,270970.0,1021,0.045454545454545456,3.0,0.5,0.0,0.25,85.08333333333333,0.0043361193218496245,0.994157740993184,0.9960381914909232,1.0,0.993852928377,1.0,-63.485,0.694934
16.0,7.0,19634.0,270970.0,653,0.058333333333333334,7.0,0.875,0.0625,0.1875,40.8125,0.0020803598735854825,0.9790104947526237,0.9802140061306903,1.0,0.953804576852,1.0,-40.395,0.407995
8.0,3.0,19634.0,270970.0,350,0.10714285714285714,3.0,0.75,0.0,0.25,43.75,0.0022291857739733007,0.9831460674157303,0.9837914856836489,1.0,0.961352657005,1.0,-21.7475,0.772767
14.0,17.0,19634.0,270970.0,1011,0.18681318681318682,17.0,2.4285714285714284,0.0714285714286,0.2857142857142857,72.21428571428571,0.0036806465705548274,0.9674641148325359,0.9693262779256054,1.0,0.941846754278,1.0,-62.167500000000004,0.6427945
9.0,2.0,19634.0,270970.0,324,0.05555555555555555,2.0,0.4444444444444444,0.0,0.2222222222222222,36.0,0.0018343949044585988,0.9878048780487805,0.9884023774033337,1.0,0.99426308387,1.0,-20.0675,0.638291
14.0,0.0,19634.0,270970.0,163,0.0,0.0,0.0,0.0,0.0,11.642857142857142,0.0005934177952526576,1.0,1.0003006808669201,1.0,1.0,1.0,-10.1625,0.467296
13.0,7.0,19634.0,270970.0,292,0.08974358974358974,7.0,1.0769230769230769,0.0,0.38461538461538464,22.46153846153846,0.0011447703206533032,0.954248366013072,0.9547868947966978,1.0,0.93558049519,1.0,-17.6475,0.6711865
10.0,3.0,19634.0,270970.0,171,0.06666666666666667,3.0,0.6,0.0,0.2,17.1,0.0008713819812474521,0.9661016949152542,0.9664171319615829,1.0,0.986014586015,1.0,-10.445,0.502921
15.0,4.0,19634.0,270970.0,224,0.0380952380952381,4.0,0.5333333333333333,0.0,0.13333333333333333,14.933333333333334,0.0007611668960361554,0.9655172413793104,0.9659304065937505,1.0,0.986477015048,1.0,-13.66,0.578959
7.0,1.0,19634.0,270970.0,185,0.047619047619047616,1.0,0.2857142857142857,0.0,0.14285714285714285,26.428571428571427,0.0013465415717415514,0.9893048128342246,0.9896460638049452,1.0,0.997818974918,1.0,-11.5225,0.7022795
17.0,12.0,19634.0,270970.0,761,0.08823529411764706,12.0,1.411764705882353,0.0,0.35294117647058826,44.76470588235294,0.0022819343366647774,0.9694267515923567,0.9708290590422762,1.0,0.914069631578,1.0,-46.985,0.556323
13.0,2.0,19634.0,270970.0,280,0.02564102564102564,2.0,0.3076923076923077,0.0,0.07692307692307693,21.53846153846154,0.0010977249650100168,0.9859154929577465,0.9864318923262638,1.0,0.985088440971,1.0,-17.285,0.6463365
11.0,0.0,19634.0,270970.0,167,0.0,0.0,0.0,0.0,0.0,15.181818181818182,0.0007736746767476013,1.0,1.0003080572654477,1.0,1.0,1.0,-10.3375,0.495719
13.0,3.0,19634.0,270970.0,402,0.038461538461538464,3.0,0.46153846153846156,0.0,0.23076923076923078,30.923076923076923,0.0015760194140500955,0.9852941176470589,0.9860353555512363,1.0,0.988084204952,1.0,-24.8925,0.697666
11.0,24.0,19634.0,270970.0,981,0.43636363636363634,24.0,4.363636363636363,0.0909090909091,0.5454545454545454,89.18181818181819,0.004544759628080221,0.9533527696793003,0.9551598221575042,1.0,0.828332319176,1.0,-59.754999999999995,0.415511
12.0,12.0,19634.0,270970.0,1509,0.18181818181818182,12.0,2.0,0.0833333333333,0.25,125.75,0.006408622974212619,0.9843444227005871,0.9871212548301358,1.0,0.903158793821,1.0,-93.2775,0.472966
9.0,3.0,19634.0,270970.0,700,0.08333333333333333,3.0,0.6666666666666666,0.0,0.2222222222222222,77.77777777777777,0.003963198867657466,0.9915014164305949,0.9927914203743212,1.0,0.996478996479,1.0,-43.4675,0.797299
10.0,2.0,19634.0,270970.0,274,0.044444444444444446,2.0,0.4,0.0,0.2,27.4,0.001396249490419894,0.9856115107913669,0.9861168500510633,1.0,0.995514147688,1.0,-17.0575,0.835477
6.0,2.0,19634.0,270970.0,478,0.13333333333333333,2.0,0.6666666666666666,0.0,0.16666666666666666,79.66666666666667,0.004058827525303988,0.991701244813278,0.9925824905038392,1.0,0.997445721584,1.0,-29.4525,0.9248
15.0,2.0,19634.0,270970.0,370,0.01904761904761905,2.0,0.26666666666666666,0.0,0.13333333333333333,24.666666666666668,0.001257284605059721,0.9893048128342246,0.9899870844668452,1.0,0.991512740362,1.0,-23.0025,0.4239165
6.0,2.0,19634.0,270970.0,160,0.13333333333333333,2.0,0.6666666666666666,0.0,0.3333333333333333,26.666666666666668,0.0013586033557502887,0.975609756097561,0.9759049067719803,1.0,0.940821256039,1.0,-9.8075,0.418271
14.0,6.0,19634.0,270970.0,2239,0.06593406593406594,6.0,0.8571428571428571,0.0,0.2857142857142857,159.92857142857142,0.008151303334789573,0.9946690359840071,0.998783581702509,1.0,0.977133496026,1.0,-139.82,0.421302
15.0,8.0,19634.0,270970.0,864,0.0761904761904762,8.0,1.0666666666666667,0.0666666666667,0.13333333333333333,57.6,0.002935929456139457,0.9818181818181818,0.9834099635082708,1.0,0.98873015873,1.0,-53.21,0.6306825
14.0,0.0,19634.0,270970.0,245,0.0,0.0,0.0,0.0,0.0,17.5,0.000891946992864424,1.0,1.000451875282422,1.0,1.0,1.0,-15.3575,0.486428
17.0,2.0,19634.0,270970.0,225,0.014705882352941176,2.0,0.23529411764705882,0.0,0.058823529411764705,13.235294117647058,0.00067468492214136,0.982532751091703,0.9829477569663417,1.0,0.991901355459,1.0,-13.9075,0.46317
8.0,0.0,19634.0,270970.0,184,0.0,0.0,0.0,0.0,0.0,23.0,0.001171914806888821,1.0,1.0003394057448112,1.0,1.0,1.0,-11.3175,0.5929725
10.0,4.0,19634.0,270970.0,219,0.08888888888888889,4.0,0.8,0.0,0.4,21.9,0.0011159804321239299,0.9647577092511013,0.9651616557530905,1.0,0.942664198547,1.0,-13.4825,0.591672
9.0,2.0,19634.0,270970.0,578,0.05555555555555555,2.0,0.4444444444444444,0.0,0.2222222222222222,64.22222222222223,0.0032724699221514508,0.993127147766323,0.9941925580598823,1.0,0.989293024721,1.0,-35.93,0.95308
19.0,2.0,19634.0,270970.0,354,0.011695906432748537,2.0,0.21052631578947367,0.0,0.10526315789473684,18.63157894736842,0.0009498638260192925,0.9888268156424581,0.9894796028965104,1.0,0.989692982456,1.0,-22.07,0.696826
11.0,0.0,19634.0,270970.0,286,0.0,0.0,0.0,0.0,0.0,26.0,0.001324975793711461,1.0,1.0005274553414996,1.0,1.0,1.0,-17.7275,0.4574535
17.0,16.0,19634.0,270970.0,840,0.11764705882352941,16.0,1.8823529411764706,0.0588235294118,0.11764705882352941,49.411764705882355,0.002518823709327744,0.963302752293578,0.9648504318796842,1.0,0.986037963926,1.0,-51.4875,0.80552
11.0,1.0,19634.0,270970.0,315,0.01818181818181818,1.0,0.18181818181818182,0.0,0.09090909090909091,28.636363636363637,0.0014593264860808049,0.9936908517350158,0.9942717613842017,1.0,0.998657718121,0.9090909090909091,-19.755,0.632346
14.0,9.0,19634.0,270970.0,550,0.0989010989010989,9.0,1.2857142857142858,0.0714285714286,0.2857142857142857,39.285714285714285,0.00200232998398136,0.9683098591549296,0.9693237363688688,1.0,0.986601126888,1.0,-33.8925,0.611105
8.0,13.0,19634.0,270970.0,815,0.4642857142857143,13.0,3.25,0.125,0.375,101.875,0.005190818302252115,0.9690844233055886,0.9705860935682796,1.0,0.957730914822,1.0,-49.775,0.492859
8.0,3.0,19634.0,270970.0,753,0.10714285714285714,3.0,0.75,0.0,0.125,94.125,0.0047959339651482726,0.9920948616600791,0.9934824018075306,1.0,0.998466257669,1.0,-46.7425,0.688621
7.0,4.0,19634.0,270970.0,229,0.19047619047619047,4.0,1.1428571428571428,0.142857142857,0.14285714285714285,32.714285714285715,0.0016668001077233257,0.9662447257383966,0.9666671094952511,1.0,0.984761904762,1.0,-14.155,0.860686
12.0,3.0,19634.0,270970.0,126,0.045454545454545456,3.0,0.5,0.0,0.25,10.5,0.0005351136479461829,0.9545454545454546,0.9547779011380827,1.0,0.949342105263,1.0,-7.65,0.546554
9.0,1.0,19634.0,270970.0,242,0.027777777777777776,1.0,0.2222222222222222,0.0,0.1111111111111111,26.88888888888889,0.0013701344656758669,0.9918032786885246,0.9922496249204033,1.0,0.995884773663,1.0,-15.0825,0.565499
13.0,1.0,19634.0,270970.0,166,0.01282051282051282,1.0,0.15384615384615385,0.0,0.07692307692307693,12.76923076923077,0.0006507940863987957,0.9880952380952381,0.9884014524009802,1.0,0.994082840237,1.0,-10.24,0.440337
7.0,0.0,19634.0,270970.0,71,0.0,0.0,0.0,0.0,0.0,10.142857142857142,0.0005167808194251359,1.0,1.0001309936514204,1.0,1.0,1.0,-4.41,0.363843
5.0,6.0,19634.0,270970.0,618,0.6,6.0,2.4,0.2,0.2,123.6,0.006296805746599419,0.9809523809523809,0.9820914548742234,1.0,0.994482758621,1.0,-38.235,0.941341
